Acyrtus lanthanum
Acyrtus pauciradiatus
Acyrtus rubiginosus
Adelosebastes latens
Adelotremus leptus
Aeoliscus punctulatus
Aeoliscus strigatus
Aequidens metae
Aequidens paloemeuensis
Aequidens patricki
Aequidens plagiozonatus
Aequidens tetramerus
Aequidens tubicen
Aesopia cornuta
Aetapcus maculatus
Aethaloperca rogaa
Aetobatus flagellum
Aetobatus laticeps
Aetobatus narinari
Aetobatus narutobiei
Aetobatus ocellatus
Aetomylaeus bovinus
Aetomylaeus maculatus
Aetomylaeus nichofii
Aetomylaeus vespertilio
Afurcagobius suppositus
Agamyxis albomaculatus
Agamyxis pectinifrons
Ageneiosus inermis
Ageneiosus magoi
Ageneiosus marmoratus
Ageneiosus militaris
Ageneiosus pardalis
Ageneiosus polystictus
Ageneiosus ucayalensis
Agoniates halecinus
Agonomalus mozinoi
Agonomalus proboscidalis
Agonopsis chiloensis
Agonopsis sterletus
Agonostomus catalai
Agonus cataphractus
Aguarunichthys tocantinsensis
Aguarunichthys torosus
Ahlia egmontis
Ahliesaurus berryi
Aidablennius sphynx
Ailia coila
Ailiichthys punctata
Aioliops brachypterus
Aioliops megastigma
Aioliops novaeguineae
Akarotaxis nudiceps
Akihito vanuatu
Akko brevis
Akko rossi
Akysis bilustris
Akysis clavulus
Akysis ephippifer
Akysis fontaneus
Akysis galeatus
Akysis hendricksoni
Akysis heterurus
Akysis longifilis
Akysis maculipinnis
Akysis pictus
Akysis portellus
Akysis prashadi
Akysis pulvinatus
Akysis recavus
Akysis scorteus
Akysis variegatus
Akysis varius
Akysis vespa
Alabes dorsalis
Alabes elongata
Alabes gibbosa
Alabes occidentalis
Alabes scotti
Albula argentea
Albula gilberti
Albula glossodonta
Albula goreensis
Albula koreana
Albula nemoptera
Albula oligolepis
Albula virgata
Albula vulpes
Alburnus qalilus
Alcichthys elongatus
Aldrichetta forsteri
Aldrovandia affinis
Aldrovandia gracilis
Aldrovandia oleosa
Aldrovandia phalacra
Alectis alexandrina
Alectis ciliaris
Alectis indica
Alepes apercna
Alepes djedaba
Alepes kleinii
Alepes melanoptera
Alepes vari
Alepisaurus brevirostris
Alepisaurus ferox
Alepocephalus antipodianus
Alepocephalus australis
Alepocephalus bairdii
Alepocephalus bicolor
Alepocephalus blanfordii
Alepocephalus longirostris
Alepocephalus productus
Alepocephalus rostratus
Alepocephalus tenebrosus
Alestes baremoze
Alestes dentex
Alestopetersius caudalis
Alestopetersius nigropterus
Alestopetersius smykalai
Alfaro cultratus
Alfaro huberi
Alionematichthys riukiuensis
Allenbatrachus grunniens
Allenbatrachus meridionalis
Allenichthys glauerti
Alloblennius jugularis
Alloblennius parvus
Alloblennius pictus
Allocareproctus jordani
Allocareproctus kallaion
Alloclinus holderi
Allocyttus niger
Allocyttus verrucosus
Allodontichthys hubbsi
Allodontichthys polylepis
Allodontichthys tamazulae
Allodontichthys zonistius
Allomogurnda flavimarginata
Allomogurnda hoesei
Allomogurnda insularis
Allomogurnda landfordorum
Allomogurnda montana
Allomogurnda nesolepis
Allomogurnda papua
Allomogurnda sampricei
Allomycterus pilatus
Alloophorus robustus
Allosmerus elongatus
Allotoca catarinae
Allotoca diazi
Allotoca dugesii
Allotoca goslinei
Allotoca zacapuensis
Alopias pelagicus
Alopias superciliosus
Alopias vulpinus
Alosa aestivalis
Alosa agone
Alosa alabamae
Alosa algeriensis
Alosa alosa
Alosa chrysochloris
Alosa fallax
Alosa immaculata
Alosa kessleri
Alosa macedonica
Alosa mediocris
Alosa pseudoharengus
Alosa sapidissima
Alosa tanaica
Alosa vistonica
Alphestes afer
Alphestes immaculatus
Alphestes multiguttatus
